timestamp1,timestamp2,difference
1678995622163922000,1678995622165090000,1168000
1678995622163923000,1678995622165091000,1168000
1678995622163924000,1678995622165092000,1168000
1678995622163925000,1678995622165093000,1168000
1678995622163925000,1678995622165094000,1169000
1678995622163926000,1678995622165095000,1169000
1678995622163927000,1678995622165095000,1168000
1678995622163928000,1678995622165096000,1168000
1678995622163929000,1678995622165097000,1168000
1678995622163930000,1678995622165098000,1168000
1678995622163931000,1678995622165099000,1168000
1678995622163932000,1678995622165100000,1168000
1678995622163933000,1678995622165101000,1168000
1678995622163933000,1678995622165101000,1168000
1678995622163934000,1678995622165102000,1168000
1678995622163935000,1678995622165103000,1168000
1678995622163936000,1678995622165104000,1168000
1678995622163937000,1678995622165105000,1168000
1678995622163938000,1678995622165106000,1168000
1678995622163939000,1678995622165107000,1168000
1678995622163939000,1678995622165107000,1168000
1678995622163940000,1678995622165108000,1168000
1678995622163941000,1678995622165109000,1168000
1678995622163942000,1678995622165110000,1168000
1678995622163943000,1678995622165111000,1168000
1678995622163944000,1678995622165112000,1168000
1678995622163945000,1678995622165112000,1167000
1678995622163945000,1678995622165113000,1168000
1678995622163946000,1678995622165114000,1168000
1678995622163947000,1678995622165115000,1168000
1678995622163948000,1678995622165116000,1168000
1678995622163949000,1678995622165117000,1168000
1678995622163950000,1678995622165118000,1168000
1678995622163951000,1678995622165118000,1167000
1678995622163951000,1678995622165119000,1168000
1678995622163952000,1678995622165120000,1168000
1678995622163953000,1678995622165121000,1168000
1678995622163954000,1678995622165122000,1168000
1678995622163955000,1678995622165123000,1168000
1678995622163956000,1678995622165124000,1168000
1678995622163957000,1678995622165124000,1167000
1678995622163957000,1678995622165125000,1168000
1678995622163958000,1678995622165126000,1168000
1678995622163959000,1678995622165127000,1168000
1678995622163960000,1678995622165128000,1168000
1678995622163961000,1678995622165129000,1168000
1678995622163962000,1678995622165130000,1168000
1678995622163963000,1678995622165131000,1168000
1678995622163964000,1678995622165131000,1167000
1678995622163965000,1678995622165132000,1167000
1678995622163965000,1678995622165133000,1168000
1678995622163966000,1678995622165134000,1168000
1678995622163967000,1678995622165135000,1168000
1678995622163968000,1678995622165136000,1168000
1678995622163969000,1678995622165136000,1167000
1678995622163970000,1678995622165137000,1167000
1678995622163971000,1678995622165138000,1167000
1678995622163971000,1678995622165139000,1168000
1678995622163972000,1678995622165140000,1168000
1678995622163973000,1678995622165141000,1168000
